x, y
-6.010000,0.280191
-6.000000,0.291006
-5.990000,0.301885
-5.980000,0.312830
-5.970000,0.323843
-5.960000,0.334928
-5.950000,0.346088
-5.940000,0.357325
-5.930000,0.368642
-5.920000,0.380044
-5.910000,0.391532
-5.900000,0.403111
-5.890000,0.414783
-5.880000,0.426553
-5.870000,0.438424
-5.860000,0.450399
-5.850000,0.462482
-5.840000,0.474678
-5.830000,0.486990
-5.820000,0.499422
-5.810000,0.511980
-5.800000,0.524666
-5.790000,0.537487
-5.780000,0.550446
-5.770000,0.563548
-5.760000,0.576799
-5.750000,0.590204
-5.740000,0.603768
-5.730000,0.617497
-5.720000,0.631396
-5.710000,0.645472
-5.700000,0.659731
-5.690000,0.674179
-5.680000,0.688823
-5.670000,0.703671
-5.660000,0.718729
-5.650000,0.734005
-5.640000,0.749507
-5.630000,0.765243
-5.620000,0.781222
-5.610000,0.797452
-5.600000,0.813943
-5.590000,0.830705
-5.580000,0.847748
-5.570000,0.865083
-5.560000,0.882719
-5.550000,0.900670
-5.540000,0.918948
-5.530000,0.937564
-5.520000,0.956533
-5.510000,0.975868
-5.500000,0.995584
-5.490000,1.015697
-5.480000,1.036222
-5.470000,1.057178
-5.460000,1.078581
-5.450000,1.100451
-5.440000,1.122808
-5.430000,1.145672
-5.420000,1.169067
-5.410000,1.193015
-5.400000,1.217541
-5.390000,1.242672
-5.380000,1.268435
-5.370000,1.294860
-5.360000,1.321979
-5.350000,1.349824
-5.340000,1.378432
-5.330000,1.407839
-5.320000,1.438086
-5.310000,1.469215
-5.300000,1.501273
-5.290000,1.534309
-5.280000,1.568374
-5.270000,1.603524
-5.260000,1.639820
-5.250000,1.677326
-5.240000,1.716113
-5.230000,1.756253
-5.220000,1.797829
-5.210000,1.840927
-5.200000,1.885642
-5.190000,1.932075
-5.180000,1.980339
-5.170000,2.030552
-5.160000,2.082847
-5.150000,2.137367
-5.140000,2.194269
-5.130000,2.253723
-5.120000,2.315920
-5.110000,2.381066
-5.100000,2.449389
-5.090000,2.521145
-5.080000,2.596611
-5.070000,2.676102
-5.060000,2.759964
-5.050000,2.848587
-5.040000,2.942407
-5.030000,3.041916
-5.020000,3.147669
-5.010000,3.260296
-5.000000,3.380515
-4.990000,3.509147
-4.980000,3.647134
-4.970000,3.795569
-4.960000,3.955716
-4.950000,4.129056
-4.940000,4.317327
-4.930000,4.522589
-4.920000,4.747297
-4.910000,4.994404
-4.900000,5.267493
-4.890000,5.570953
-4.880000,5.910220
-4.870000,6.292110
-4.860000,6.725287
-4.850000,7.220932
-4.840000,7.793731
-4.830000,8.463365
-4.820000,9.256831
-4.810000,10.212187
-4.800000,11.384871
-4.790000,12.858888
-4.780000,14.767945
-4.770000,17.338582
-4.760000,20.987668
-4.750000,26.575414
-4.740000,36.208220
-4.730000,56.776759
-4.720000,131.385904
-4.710000,-418.587823
-4.700000,-80.712763
-4.690000,-44.657367
-4.680000,-30.863901
-4.670000,-23.576906
-4.660000,-19.070517
-4.650000,-16.007670
-4.640000,-13.790119
-4.630000,-12.110070
-4.620000,-10.792988
-4.610000,-9.732523
-4.600000,-8.860175
-4.590000,-8.129833
-4.580000,-7.509318
-4.570000,-6.975488
-4.560000,-6.511279
-4.550000,-6.103828
-4.540000,-5.743258
-4.530000,-5.421856
-4.520000,-5.133514
-4.510000,-4.873333
-4.500000,-4.637332
-4.490000,-4.422250
-4.480000,-4.225387
-4.470000,-4.044486
-4.460000,-3.877649
-4.450000,-3.723269
-4.440000,-3.579972
-4.430000,-3.446581
-4.420000,-3.322079
-4.410000,-3.205583
-4.400000,-3.096324
-4.390000,-2.993628
-4.380000,-2.896902
-4.370000,-2.805623
-4.360000,-2.719326
-4.350000,-2.637599
-4.340000,-2.560072
-4.330000,-2.486415
-4.320000,-2.416333
-4.310000,-2.349557
-4.300000,-2.285848
-4.290000,-2.224986
-4.280000,-2.166774
-4.270000,-2.111031
-4.260000,-2.057592
-4.250000,-2.006309
-4.240000,-1.957043
-4.230000,-1.909668
-4.220000,-1.864069
-4.210000,-1.820139
-4.200000,-1.777780
-4.190000,-1.736900
-4.180000,-1.697416
-4.170000,-1.659251
-4.160000,-1.622331
-4.150000,-1.586590
-4.140000,-1.551966
-4.130000,-1.518399
-4.120000,-1.485837
-4.110000,-1.454229
-4.100000,-1.423527
-4.090000,-1.393686
-4.080000,-1.364666
-4.070000,-1.336427
-4.060000,-1.308933
-4.050000,-1.282150
-4.040000,-1.256045
-4.030000,-1.230587
-4.020000,-1.205749
-4.010000,-1.181502
-4.000000,-1.157821
-3.990000,-1.134683
-3.980000,-1.112064
-3.970000,-1.089942
-3.960000,-1.068298
-3.950000,-1.047111
-3.940000,-1.026363
-3.930000,-1.006037
-3.920000,-0.986115
-3.910000,-0.966583
